ANO;GRANDE REGIÃO;ESTADO;PRODUTO;VENDAS
1961;Região Norte;Acre;GLP;0
1961;Região Nordeste;Ceará;GLP;10561,5942
1961;Região Nordeste;Rio Grande do Norte;GLP;2681,15942
1961;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1961;Região Centro-Oeste;Goiás;GLP;6893,115942
1961;Região Norte;Amazonas;GLP;3945,652174
1961;Região Nordeste;Pernambuco;GLP;17856,88406
1961;Região Sudeste;Rio de Janeiro;GLP;217847,8261
1961;Região Norte;Amapá;GLP;0
1961;Região Sul;Rio Grande do Sul;GLP;34306,15942
1961;Região Norte;Roraima;GLP;0
1961;Região Sul;Santa Catarina;GLP;4980,072464
1961;Região Norte;Pará;GLP;5010,869565
1961;Região Nordeste;Piauí;GLP;719,2028986
1961;Região Nordeste;Bahia;GLP;16777,17391
1961;Região Centro-Oeste;Distrito Federal;GLP;3403,985507
1961;Região Sudeste;Espírito Santo;GLP;1159,42029
1961;Região Sudeste;Minas Gerais;GLP;39684,78261
1961;Região Nordeste;Sergipe;GLP;1510,869565
1962;Região Nordeste;Pernambuco;GLP;24795,28986
1962;Região Nordeste;Rio Grande do Norte;GLP;4418,478261
1962;Região Sudeste;Espírito Santo;GLP;2322,463768
1962;Região Nordeste;Ceará;GLP;15686,5942
1962;Região Sudeste;Minas Gerais;GLP;54141,30435
1962;Região Sudeste;São Paulo;GLP;460293,4783
1962;Região Nordeste;Bahia;GLP;17478,26087
1962;Região Nordeste;Paraíba;GLP;7159,42029
1962;Região Nordeste;Maranhão;GLP;2635,869565
1962;Região Nordeste;Alagoas;GLP;3250
1962;Região Nordeste;Sergipe;GLP;1940,217391
1962;Região Nordeste;Piauí;GLP;1543,478261
1962;Região Sudeste;Rio de Janeiro;GLP;257907,6087
1962;Região Norte;Amazonas;GLP;5673,913043
1962;Região Centro-Oeste;Goiás;GLP;8918,478261
1962;Região Norte;Rondônia;GLP;0
1962;Região Norte;Tocantins;GLP;0
1962;Região Sul;Rio Grande do Sul;GLP;44282,6087
1962;Região Norte;Acre;GLP;0
1962;Região Sul;Santa Catarina;GLP;7653,985507
1962;Região Norte;Amapá;GLP;0
1962;Região Centro-Oeste;Distrito Federal;GLP;5376,811594
1962;Região Norte;Pará;GLP;7920,289855
1962;Região Centro-Oeste;Mato Grosso;GLP;3043,478261
1962;Região Norte;Roraima;GLP;0
1962;Região Sul;Paraná;GLP;26454,71014
1962;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1963;Região Norte;Acre;GLP;0
1963;Região Nordeste;Pernambuco;GLP;34226,44928
1963;Região Sudeste;Rio de Janeiro;GLP;289344,2029
1963;Região Nordeste;Rio Grande do Norte;GLP;5003,623188
1963;Região Nordeste;Piauí;GLP;2018,115942
1963;Região Sul;Santa Catarina;GLP;10686,5942
1963;Região Norte;Amazonas;GLP;6769,927536
1963;Região Nordeste;Sergipe;GLP;2228,26087
1963;Região Sudeste;Minas Gerais;GLP;64396,73913
1963;Região Norte;Amapá;GLP;0
1963;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1963;Região Centro-Oeste;Mato Grosso;GLP;3929,347826
1963;Região Nordeste;Bahia;GLP;18317,02899
1963;Região Nordeste;Paraíba;GLP;8461,956522
1963;Região Nordeste;Ceará;GLP;20367,75362
1963;Região Norte;Pará;GLP;10244,56522
1963;Região Norte;Roraima;GLP;0
1963;Região Sul;Rio Grande do Sul;GLP;57485,50725
1963;Região Sudeste;Espírito Santo;GLP;2862,318841
1963;Região Centro-Oeste;Goiás;GLP;12173,91304
1963;Região Norte;Tocantins;GLP;0
1963;Região Centro-Oeste;Distrito Federal;GLP;9579,710145
1963;Região Sul;Paraná;GLP;33625
1963;Região Nordeste;Maranhão;GLP;3007,246377
1963;Região Sudeste;São Paulo;GLP;530539,8551
1963;Região Nordeste;Alagoas;GLP;4536,231884
1963;Região Norte;Rondônia;GLP;0
1964;Região Norte;Pará;GLP;13018,11594
1964;Região Sudeste;Rio de Janeiro;GLP;320478,2609
1964;Região Sudeste;Espírito Santo;GLP;3956,521739
1964;Região Norte;Tocantins;GLP;0
1964;Região Nordeste;Alagoas;GLP;4483,695652
1964;Região Norte;Rondônia;GLP;0
1964;Região Norte;Amazonas;GLP;7905,797101
1964;Região Centro-Oeste;Goiás;GLP;12947,46377
1964;Região Nordeste;Ceará;GLP;27313,4058
1964;Região Nordeste;Bahia;GLP;22880,43478
1964;Região Nordeste;Maranhão;GLP;3086,956522
1964;Região Centro-Oeste;Distrito Federal;GLP;10498,18841
1964;Região Norte;Amapá;GLP;0
1964;Região Sul;Rio Grande do Sul;GLP;77585,14493
1964;Região Nordeste;Paraíba;GLP;11009,05797
1964;Região Norte;Acre;GLP;0
1964;Região Nordeste;Pernambuco;GLP;44500
1964;Região Sul;Paraná;GLP;44117,75362
1964;Região Sudeste;São Paulo;GLP;616782,6087
1964;Região Nordeste;Sergipe;GLP;2851,449275
1964;Região Norte;Roraima;GLP;0
1964;Região Centro-Oeste;Mato Grosso;GLP;4298,913043
1964;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1964;Região Sul;Santa Catarina;GLP;14259,05797
1964;Região Nordeste;Rio Grande do Norte;GLP;6172,101449
1964;Região Nordeste;Piauí;GLP;2472,826087
1964;Região Sudeste;Minas Gerais;GLP;74739,13043
1965;Região Nordeste;Paraíba;GLP;14487,31884
1965;Região Nordeste;Bahia;GLP;26579,71014
1965;Região Sudeste;Minas Gerais;GLP;89001,81159
1965;Região Nordeste;Ceará;GLP;30557,97101
1965;Região Nordeste;Maranhão;GLP;3394,927536
1965;Região Centro-Oeste;Mato Grosso;GLP;3974,637681
1965;Região Norte;Pará;GLP;15992,75362
1965;Região Nordeste;Alagoas;GLP;6413,043478
1965;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1965;Região Sudeste;Espírito Santo;GLP;7376,811594
1965;Região Norte;Roraima;GLP;0
1965;Região Nordeste;Rio Grande do Norte;GLP;7260,869565
1965;Região Norte;Amazonas;GLP;8387,681159
1965;Região Sul;Paraná;GLP;47487,31884
1965;Região Sudeste;Rio de Janeiro;GLP;325059,7826
1965;Região Centro-Oeste;Goiás;GLP;12653,98551
1965;Região Nordeste;Sergipe;GLP;3130,434783
1965;Região Centro-Oeste;Distrito Federal;GLP;12788,04348
1965;Região Nordeste;Piauí;GLP;2822,463768
1965;Região Nordeste;Pernambuco;GLP;46409,42029
1965;Região Norte;Amapá;GLP;0
1965;Região Sul;Rio Grande do Sul;GLP;76259,05797
1965;Região Norte;Tocantins;GLP;0
1965;Região Sul;Santa Catarina;GLP;16824,27536
1965;Região Norte;Acre;GLP;0
1965;Região Norte;Rondônia;GLP;0
1965;Região Sudeste;São Paulo;GLP;604139,4928
1966;Região Nordeste;Piauí;GLP;3358,695652
1966;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1966;Região Sudeste;São Paulo;GLP;652717,3913
1966;Região Centro-Oeste;Mato Grosso;GLP;5088,768116
1966;Região Sudeste;Minas Gerais;GLP;103432,971
1966;Região Nordeste;Rio Grande do Norte;GLP;9829,710145
1966;Região Nordeste;Sergipe;GLP;4208,333333
1966;Região Norte;Tocantins;GLP;0
1966;Região Sul;Santa Catarina;GLP;20713,76812
1966;Região Sul;Paraná;GLP;58068,84058
1966;Região Nordeste;Alagoas;GLP;6820,652174
1966;Região Norte;Roraima;GLP;0
1966;Região Nordeste;Pernambuco;GLP;59302,53623
1966;Região Centro-Oeste;Distrito Federal;GLP;15152,17391
1966;Região Norte;Amapá;GLP;0
1966;Região Norte;Amazonas;GLP;10329,71014
1966;Região Norte;Pará;GLP;19215,57971
1966;Região Nordeste;Ceará;GLP;28317,02899
1966;Região Sul;Rio Grande do Sul;GLP;92329,71014
1966;Região Nordeste;Paraíba;GLP;15559,78261
1966;Região Sudeste;Espírito Santo;GLP;10342,3913
1966;Região Centro-Oeste;Goiás;GLP;14534,42029
1966;Região Nordeste;Maranhão;GLP;3478,26087
1966;Região Norte;Acre;GLP;0
1966;Região Norte;Rondônia;GLP;0
1966;Região Nordeste;Bahia;GLP;33673,91304
1966;Região Sudeste;Rio de Janeiro;GLP;343414,8551
1967;Região Nordeste;Bahia;GLP;40326,08696
1967;Região Norte;Rondônia;GLP;0
1967;Região Sudeste;Minas Gerais;GLP;121409,4203
1967;Região Norte;Amazonas;GLP;11934,78261
1967;Região Centro-Oeste;Mato Grosso;GLP;7561,594203
1967;Região Norte;Acre;GLP;0
1967;Região Centro-Oeste;Goiás;GLP;18108,69565
1967;Região Nordeste;Alagoas;GLP;8862,318841
1967;Região Nordeste;Pernambuco;GLP;66918,47826
1967;Região Nordeste;Sergipe;GLP;3936,594203
1967;Região Centro-Oeste;Distrito Federal;GLP;17856,88406
1967;Região Nordeste;Paraíba;GLP;16913,04348
1967;Região Nordeste;Piauí;GLP;4525,362319
1967;Região Sudeste;São Paulo;GLP;686860,5072
1967;Região Nordeste;Ceará;GLP;36275,36232
1967;Região Sul;Paraná;GLP;84121,37681
1967;Região Norte;Tocantins;GLP;0
1967;Região Sudeste;Espírito Santo;GLP;13025,36232
1967;Região Nordeste;Maranhão;GLP;4838,768116
1967;Região Norte;Amapá;GLP;0
1967;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1967;Região Norte;Pará;GLP;23601,44928
1967;Região Sul;Santa Catarina;GLP;27942,02899
1967;Região Sudeste;Rio de Janeiro;GLP;374019,9275
1967;Região Sul;Rio Grande do Sul;GLP;101668,4783
1967;Região Nordeste;Rio Grande do Norte;GLP;12565,21739
1967;Região Norte;Roraima;GLP;0
1968;Região Sul;Rio Grande do Sul;GLP;119438,4058
1968;Região Nordeste;Piauí;GLP;44724,63768
1968;Região Sudeste;Rio de Janeiro;GLP;408608,6957
1968;Região Nordeste;Maranhão;GLP;4811,594203
1968;Região Nordeste;Ceará;GLP;40056,15942
1968;Região Sudeste;São Paulo;GLP;796938,4058
1968;Região Norte;Pará;GLP;27222,82609
1968;Região Norte;Acre;GLP;0
1968;Região Norte;Rondônia;GLP;0
1968;Região Centro-Oeste;Goiás;GLP;23056,15942
1968;Região Nordeste;Paraíba;GLP;17992,75362
1968;Região Centro-Oeste;Distrito Federal;GLP;21329,71014
1968;Região Norte;Tocantins;GLP;0
1968;Região Norte;Roraima;GLP;0
1968;Região Nordeste;Rio Grande do Norte;GLP;13588,76812
1968;Região Sul;Paraná;GLP;73523,55072
1968;Região Sul;Santa Catarina;GLP;27753,62319
1968;Região Sudeste;Minas Gerais;GLP;133110,5072
1968;Região Nordeste;Bahia;GLP;60010,86957
1968;Região Nordeste;Alagoas;GLP;10822,46377
1968;Região Nordeste;Sergipe;GLP;4865,942029
1968;Região Norte;Amazonas;GLP;13942,02899
1968;Região Nordeste;Pernambuco;GLP;75264,49275
1968;Região Norte;Amapá;GLP;0
1968;Região Centro-Oeste;Mato Grosso;GLP;6947,463768
1968;Região Sudeste;Espírito Santo;GLP;17340,57971
1968;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1969;Região Sudeste;Rio de Janeiro;GLP;432771,7391
1969;Região Nordeste;Sergipe;GLP;6855,072464
1969;Região Nordeste;Pernambuco;GLP;79295,28986
1969;Região Norte;Amapá;GLP;0
1969;Região Nordeste;Piauí;GLP;5199,275362
1969;Região Sudeste;São Paulo;GLP;837635,8696
1969;Região Norte;Acre;GLP;0
1969;Região Centro-Oeste;Goiás;GLP;27684,78261
1969;Região Sul;Santa Catarina;GLP;35849,63768
1969;Região Norte;Amazonas;GLP;16157,6087
1969;Região Norte;Tocantins;GLP;0
1969;Região Sudeste;Espírito Santo;GLP;19806,15942
1969;Região Nordeste;Paraíba;GLP;18045,28986
1969;Região Nordeste;Ceará;GLP;40284,42029
1969;Região Centro-Oeste;Mato Grosso;GLP;8302,536232
1969;Região Nordeste;Rio Grande do Norte;GLP;14057,97101
1969;Região Nordeste;Alagoas;GLP;12014,49275
1969;Região Norte;Roraima;GLP;0
1969;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1969;Região Sul;Paraná;GLP;84663,04348
1969;Região Norte;Pará;GLP;29637,68116
1969;Região Sul;Rio Grande do Sul;GLP;134217,3913
1969;Região Centro-Oeste;Distrito Federal;GLP;23992,75362
1969;Região Sudeste;Minas Gerais;GLP;147922,1014
1969;Região Nordeste;Maranhão;GLP;5978,26087
1969;Região Norte;Rondônia;GLP;0
1969;Região Nordeste;Bahia;GLP;73913,04348
1970;Região Centro-Oeste;Distrito Federal;GLP;27349,63768
1970;Região Sul;Santa Catarina;GLP;35628,62319
1970;Região Nordeste;Alagoas;GLP;13134,05797
1970;Região Sul;Paraná;GLP;94228,26087
1970;Região Norte;Tocantins;GLP;0
1970;Região Sudeste;São Paulo;GLP;929659,4203
1970;Região Norte;Rondônia;GLP;0
1970;Região Nordeste;Maranhão;GLP;5771,73913
1970;Região Nordeste;Paraíba;GLP;17963,76812
1970;Região Nordeste;Ceará;GLP;41922,10145
1970;Região Nordeste;Bahia;GLP;89693,84058
1970;Região Sul;Rio Grande do Sul;GLP;156543,4783
1970;Região Sudeste;Minas Gerais;GLP;168739,1304
1970;Região Sudeste;Espírito Santo;GLP;21956,52174
1970;Região Norte;Roraima;GLP;0
1970;Região Nordeste;Rio Grande do Norte;GLP;14574,27536
1970;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1970;Região Norte;Amazonas;GLP;18548,91304
1970;Região Centro-Oeste;Mato Grosso;GLP;10041,66667
1970;Região Centro-Oeste;Goiás;GLP;30621,37681
1970;Região Sudeste;Rio de Janeiro;GLP;451248,1884
1970;Região Nordeste;Sergipe;GLP;9398,550725
1970;Região Norte;Amapá;GLP;0
1970;Região Nordeste;Pernambuco;GLP;83791,66667
1970;Região Norte;Acre;GLP;0
1970;Região Nordeste;Piauí;GLP;4778,985507
1970;Região Norte;Pará;GLP;32262,68116
1971;Região Sul;Santa Catarina;GLP;44670,28986
1971;Região Sul;Paraná;GLP;120414,8551
1971;Região Sudeste;Minas Gerais;GLP;198802,5362
1971;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1971;Região Nordeste;Sergipe;GLP;10338,76812
1971;Região Sudeste;São Paulo;GLP;977460,1449
1971;Região Nordeste;Bahia;GLP;98798,91304
1971;Região Sul;Rio Grande do Sul;GLP;171588,7681
1971;Região Centro-Oeste;Distrito Federal;GLP;31476,44928
1971;Região Centro-Oeste;Goiás;GLP;33650,36232
1971;Região Centro-Oeste;Mato Grosso;GLP;11373,18841
1971;Região Sudeste;Rio de Janeiro;GLP;465422,1014
1971;Região Sudeste;Espírito Santo;GLP;23947,46377
1971;Região Nordeste;Alagoas;GLP;13456,52174
1971;Região Nordeste;Ceará;GLP;43764,49275
1971;Região Nordeste;Piauí;GLP;5686,594203
1971;Região Norte;Amazonas;GLP;19996,37681
1971;Região Norte;Acre;GLP;0
1971;Região Norte;Rondônia;GLP;1547,101449
1971;Região Norte;Pará;GLP;36394,92754
1971;Região Nordeste;Paraíba;GLP;18487,31884
1971;Região Nordeste;Maranhão;GLP;6400,362319
1971;Região Nordeste;Pernambuco;GLP;87643,11594
1971;Região Norte;Roraima;GLP;0
1971;Região Nordeste;Rio Grande do Norte;GLP;15340,57971
1971;Região Norte;Tocantins;GLP;0
1971;Região Norte;Amapá;GLP;0
1972;Região Nordeste;Rio Grande do Norte;GLP;16001,81159
1972;Região Sul;Santa Catarina;GLP;46431,15942
1972;Região Centro-Oeste;Goiás;GLP;38224,63768
1972;Região Sudeste;Rio de Janeiro;GLP;485896,7391
1972;Região Nordeste;Sergipe;GLP;13923,91304
1972;Região Nordeste;Pernambuco;GLP;92063,4058
1972;Região Nordeste;Piauí;GLP;5981,884058
1972;Região Norte;Acre;GLP;0
1972;Região Norte;Amazonas;GLP;20324,27536
1972;Região Centro-Oeste;Mato Grosso;GLP;20909,42029
1972;Região Norte;Roraima;GLP;869,5652174
1972;Região Sudeste;Minas Gerais;GLP;218952,8986
1972;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1972;Região Nordeste;Ceará;GLP;44652,17391
1972;Região Sul;Rio Grande do Sul;GLP;200177,5362
1972;Região Norte;Pará;GLP;36766,30435
